Run	SubRun	Entry	EV	GTID	OWLHits	NHits	Clock50MHz	DeltaT(s)
300021	4	496168	0	1022160	0	3133	1759197165064	209.195
300021	6	502443	0	2280983	0	4917	1783797699879	492.011
300021	8	231879	0	3262118	0	3352	1802992317255	383.892
300021	9	165686	0	3821622	8	7819	1813921729159	218.588
300021	9	367124	0	4023063	0	5140	1817877213677	79.1097
300021	10	43581	0	4325163	20	8168	1823796384846	118.383
300021	10	271640	0	4553226	0	3517	1828267628698	89.4249
300021	14	208607	0	6992496	0	5277	1875912187794	952.891
300022	1	616554	0	8515328	0	5131	1905629345632	594.343
300022	2	199303	0	8723609	0	3193	1909674341309	80.8999
300022	2	593715	0	9118027	0	3492	1917370642603	153.926
300022	5	109783	0	10510889	0	3997	1944533875386	543.265
300022	6	132610	0	11159104	0	5092	1957176926733	252.861
300022	6	323204	0	11349701	24	3575	1960888112706	74.2237
300022	7	153140	0	11805089	0	4353	1969773871720	177.715
300022	8	11003	0	12288304	0	3690	1979212659885	188.776
300022	8	237073	0	12514377	0	3137	1983616530693	88.0774
300022	10	55781	0	13584852	0	3440	2004528266825	418.235
300022	11	165502	0	14322827	0	5040	2018865107019	286.737
300022	11	424095	0	14581424	0	4273	2023941933398	101.537
300022	12	294201	0	15077070	0	3233	2033625046031	193.662
300022	13	623240	0	16032180	1	4059	2052279113907	373.081
300023	1	75075	0	488546	0	5221	2075084954262	456.117
300023	2	52379	0	1091379	0	3352	2086870802110	235.717
300023	2	389085	0	1428090	0	4173	2093456049777	131.705
300023	4	561773	0	2852364	22	7979	2121312699757	557.133
300023	6	513587	0	4064937	23	8404	2144702518265	467.796
300023	7	387241	0	4564520	0	3009	2154466196925	195.274
300023	9	82792	0	5519841	0	5449	2172177696685	354.23
300023	9	352937	0	5789990	0	4822	2177458869434	105.623
300023	9	598464	0	6035521	0	3499	2182261204901	96.0467
300023	10	367032	0	6430208	21	8378	2189985019315	154.476
300023	11	220311	0	6909284	37	8355	2199368267876	187.665
